0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
0,1467810672,Mon Apr 06 22:19:49 PDT 2009,NO_QUERY,scotthamilton,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
0,1467810917,Mon Apr 06 22:19:53 PDT 2009,NO_QUERY,mattycus,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
0,1467811184,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,ElleCTF,my whole body feels itchy and like its on fire 
0,1467811193,Mon Apr 06 22:19:57 PDT 2009,NO_QUERY,Karoli,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
0,1467811372,Mon Apr 06 22:20:00 PDT 2009,NO_QUERY,joy_wolf,@Kwesidei not the whole crew 
0,1467811592,Mon Apr 06 22:20:03 PDT 2009,NO_QUERY,mybirch,Need a hug 
4,1960185684,Fri May 29 07:33:39 PDT 2009,NO_QUERY,Oliviaaemily,Just sitting in the garden leting the sun do its job 
4,1960185706,Fri May 29 07:33:39 PDT 2009,NO_QUERY,withLoveJazzy,in tampa... going to see him 
4,1960185825,Fri May 29 07:33:40 PDT 2009,NO_QUERY,ahousley,Looking forward to a mini-break in Isle of Wight with friends this weekend. The weather - sun and more sun... 
4,1960185836,Fri May 29 07:33:40 PDT 2009,NO_QUERY,WindmillBrixton,GRINGO STAR tonight. Southern garage.  http://www.facebook.com/inbox/?ref=mb#/event.php?eid=80320708536
4,1960185847,Fri May 29 07:33:40 PDT 2009,NO_QUERY,techcoach,@DavidBass hee hee...I'll take rain over wind chill any day!  I love Costa Rica!
4,1960185945,Fri May 29 07:33:41 PDT 2009,NO_QUERY,timg888,"today's message in the church service was delivered via skype's free service, technology is really cool. blessing via wi-fi "
4,1960186091,Fri May 29 07:33:42 PDT 2009,NO_QUERY,debraladiva,"Back home, thought I'd done for the week, but just had a call to alter something else for Monday Arrrrgh. Do it then start the Wkend "
4,1960186342,Fri May 29 07:33:44 PDT 2009,NO_QUERY,Madelinedugganx,My GrandMa is making Dinenr with my Mum 
4,1960186409,Fri May 29 07:33:43 PDT 2009,NO_QUERY,OffRoad_Dude,Mid-morning snack time... A bowl of cheese noodles. Yum. 
4,1960186429,Fri May 29 07:33:44 PDT 2009,NO_QUERY,Falchion,@ShaDeLa same here  say it like from the Terminiator movies. comes off like just 3 words. :-D
4,1960186445,Fri May 29 07:33:44 PDT 2009,NO_QUERY,jonasobsessedx,@DestinyHope92 im great thaanks  wbuu?
4,1960186607,Fri May 29 07:33:45 PDT 2009,NO_QUERY,sugababez,cant wait til her date this weekend 
